,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR
0,2017,Afghanistan,Afghanistan,0,0,1837079
1,2017,Iran (Islamic Rep. of),Afghanistan,34,5,0
2,2017,Pakistan,Afghanistan,75893,101,0
3,2017,Tajikistan,Afghanistan,0,7,0
4,2017,Türkiye,Afghanistan,0,102,0
5,2017,Egypt,Albania,5,0,0
6,2017,China,Albania,12,0,0
7,2017,Dem. Rep. of the Congo,Albania,5,0,0
8,2017,Palestinian,Albania,5,0,0
9,2017,Iran (Islamic Rep. of),Albania,12,5,0
10,2017,Iraq,Albania,5,0,0
11,2017,Serbia and Kosovo: S/RES/1244 (1999),Albania,60,5,0
12,2017,Syrian Arab Rep.,Albania,5,22,0
13,2017,Türkiye,Albania,5,0,0
14,2017,Uzbekistan,Albania,5,0,0
15,2017,Venezuela (Bolivarian Republic of),Albania,5,0,0
16,2017,Stateless,Albania,0,0,0
17,2017,Central African Rep.,Algeria,43,27,0
18,2017,Chad,Algeria,0,5,0
19,2017,Cameroon,Algeria,16,31,0
20,2017,Congo,Algeria,0,5,0
21,2017,Dem. Rep. of the Congo,Algeria,47,76,0
22,2017,Palestinian,Algeria,4014,85,0
23,2017,Guinea,Algeria,5,24,0
24,2017,Cote d'Ivoire,Algeria,39,53,0
25,2017,Iraq,Algeria,13,5,0
26,2017,Libya,Algeria,19,8,0
27,2017,Lebanon,Algeria,0,5,0
28,2017,Mali,Algeria,34,37,0
29,2017,Nigeria,Algeria,0,5,0
30,2017,Sudan,Algeria,0,6,0
31,2017,Syrian Arab Rep.,Algeria,8,5821,0
32,2017,Togo,Algeria,5,0,0
33,2017,Tunisia,Algeria,0,5,0
34,2017,Western Sahara,Algeria,90000,0,0
35,2017,Yemen,Algeria,5,155,0
36,2017,Burundi,Angola,9,94,0
37,2017,Central African Rep.,Angola,9,76,0
38,2017,Chad,Angola,184,780,0
39,2017,Congo,Angola,5,58,0
40,2017,Dem. Rep. of the Congo,Angola,38516,500,0
41,2017,Eritrea,Angola,34,1767,0
42,2017,Ethiopia,Angola,0,57,0
43,2017,Guinea-Bissau,Angola,0,268,0
44,2017,Guinea,Angola,107,9145,0
45,2017,Cote d'Ivoire,Angola,510,5938,0
46,2017,Liberia,Angola,155,478,0
47,2017,Mauritania,Angola,306,5403,0
48,2017,Rwanda,Angola,273,67,0
49,2017,Sierra Leone,Angola,374,1497,0
50,2017,Somalia,Angola,288,1731,0
51,2017,Sudan,Angola,313,1670,0
52,2017,United Rep. of Tanzania,Angola,5,0,0
53,2017,Uganda,Angola,6,6,0
